Created as New Dataset,Sample 003 By irlear Date Monday, July 06 2009
cm-1,A
4000.00,0.0377
3999.50,0.0377
3999.00,0.0377
3998.50,0.0377
3998.00,0.0377
3997.50,0.0377
3997.00,0.0377
3996.50,0.0377
3996.00,0.0377
3995.50,0.0377
3995.00,0.0377
3994.50,0.0377
3994.00,0.0377
3993.50,0.0377
3993.00,0.0376
3992.50,0.0376
3992.00,0.0376
3991.50,0.0376
3991.00,0.0376
3990.50,0.0376
3990.00,0.0376
3989.50,0.0376
3989.00,0.0376
3988.50,0.0376
3988.00,0.0376
3987.50,0.0376
3987.00,0.0376
3986.50,0.0375
3986.00,0.0375
3985.50,0.0375
3985.00,0.0374
3984.50,0.0374
3984.00,0.0374
3983.50,0.0374
3983.00,0.0375
3982.50,0.0375
3982.00,0.0375
3981.50,0.0375
3981.00,0.0375
3980.50,0.0375
3980.00,0.0375
3979.50,0.0375
3979.00,0.0374
3978.50,0.0374
3978.00,0.0374
3977.50,0.0374
3977.00,0.0374
3976.50,0.0374
3976.00,0.0374
3975.50,0.0374
3975.00,0.0374
3974.50,0.0374
3974.00,0.0374
3973.50,0.0374
3973.00,0.0374
3972.50,0.0374
3972.00,0.0374
3971.50,0.0374
3971.00,0.0374
3970.50,0.0374
3970.00,0.0374
3969.50,0.0374
3969.00,0.0374
3968.50,0.0373
3968.00,0.0373
3967.50,0.0373
3967.00,0.0373
3966.50,0.0373
3966.00,0.0373
3965.50,0.0373
3965.00,0.0373
3964.50,0.0373
3964.00,0.0373
3963.50,0.0373
3963.00,0.0373
3962.50,0.0373
3962.00,0.0373
3961.50,0.0373
3961.00,0.0373
3960.50,0.0373
3960.00,0.0373
3959.50,0.0373
3959.00,0.0373
3958.50,0.0373
3958.00,0.0372
3957.50,0.0372
3957.00,0.0372
3956.50,0.0372
3956.00,0.0372
3955.50,0.0372
3955.00,0.0372
3954.50,0.0372
3954.00,0.0372
3953.50,0.0372
3953.00,0.0372
3952.50,0.0372
3952.00,0.0372
3951.50,0.0372
3951.00,0.0372
3950.50,0.0373
3950.00,0.0373
3949.50,0.0373
3949.00,0.0373
3948.50,0.0373
3948.00,0.0372
3947.50,0.0372
3947.00,0.0372
3946.50,0.0372
3946.00,0.0372
3945.50,0.0372
3945.00,0.0372
3944.50,0.0372
3944.00,0.0373
3943.50,0.0372
3943.00,0.0372
3942.50,0.0373
3942.00,0.0373
3941.50,0.0372
3941.00,0.0372
3940.50,0.0372
3940.00,0.0372
3939.50,0.0372
3939.00,0.0371
3938.50,0.0371
3938.00,0.0371
3937.50,0.0371
3937.00,0.0371
3936.50,0.0371
3936.00,0.0370
3935.50,0.0370
3935.00,0.0371
3934.50,0.0371
3934.00,0.0372
3933.50,0.0372
3933.00,0.0372
3932.50,0.0372
3932.00,0.0372
3931.50,0.0372
3931.00,0.0371
3930.50,0.0371
3930.00,0.0371
3929.50,0.0371
3929.00,0.0371
3928.50,0.0371
3928.00,0.0371
3927.50,0.0371
3927.00,0.0371
3926.50,0.0371
3926.00,0.0371
3925.50,0.0372
3925.00,0.0372
3924.50,0.0372
3924.00,0.0371
3923.50,0.0371
3923.00,0.0371
3922.50,0.0371
3922.00,0.0371
3921.50,0.0371
3921.00,0.0371
3920.50,0.0371
3920.00,0.0371
3919.50,0.0372
3919.00,0.0372
3918.50,0.0371
3918.00,0.0371
3917.50,0.0372
3917.00,0.0372
3916.50,0.0371
3916.00,0.0371
3915.50,0.0371
3915.00,0.0371
3914.50,0.0371
3914.00,0.0371
3913.50,0.0370
3913.00,0.0370
3912.50,0.0370
3912.00,0.0370
3911.50,0.0371
3911.00,0.0371
3910.50,0.0371
3910.00,0.0371
3909.50,0.0371
3909.00,0.0371
3908.50,0.0371
3908.00,0.0371
3907.50,0.0372
3907.00,0.0372
3906.50,0.0373
3906.00,0.0373
3905.50,0.0373
3905.00,0.0373
3904.50,0.0373
3904.00,0.0374
3903.50,0.0375
3903.00,0.0374
3902.50,0.0373
3902.00,0.0373
3901.50,0.0374
3901.00,0.0374
3900.50,0.0373
3900.00,0.0373
3899.50,0.0373
3899.00,0.0374
3898.50,0.0374
3898.00,0.0373
3897.50,0.0373
3897.00,0.0373
3896.50,0.0373
3896.00,0.0372
3895.50,0.0372
3895.00,0.0372
3894.50,0.0372
3894.00,0.0372
3893.50,0.0373
3893.00,0.0373
3892.50,0.0373
3892.00,0.0373
3891.50,0.0372
3891.00,0.0373
3890.50,0.0374
3890.00,0.0374
3889.50,0.0373
3889.00,0.0373
3888.50,0.0373
3888.00,0.0373
3887.50,0.0373
3887.00,0.0373
3886.50,0.0372
3886.00,0.0372
3885.50,0.0372
3885.00,0.0373
3884.50,0.0373
3884.00,0.0373
3883.50,0.0373
3883.00,0.0374
3882.50,0.0374
3882.00,0.0374
3881.50,0.0374
3881.00,0.0375
3880.50,0.0375
3880.00,0.0375
3879.50,0.0375
3879.00,0.0374
3878.50,0.0374
3878.00,0.0373
3877.50,0.0373
3877.00,0.0373
3876.50,0.0374
3876.00,0.0374
3875.50,0.0374
3875.00,0.0374
3874.50,0.0374
3874.00,0.0375
3873.50,0.0375
3873.00,0.0375
3872.50,0.0375
3872.00,0.0375
3871.50,0.0376
3871.00,0.0376
3870.50,0.0376
3870.00,0.0375
3869.50,0.0376
3869.00,0.0377
3868.50,0.0376
3868.00,0.0375
3867.50,0.0375
3867.00,0.0375
3866.50,0.0375
3866.00,0.0375
3865.50,0.0375
3865.00,0.0376
3864.50,0.0376
3864.00,0.0377
3863.50,0.0376
3863.00,0.0376
3862.50,0.0376
3862.00,0.0376
3861.50,0.0376
3861.00,0.0376
3860.50,0.0376
3860.00,0.0376
3859.50,0.0376
3859.00,0.0376
3858.50,0.0376
3858.00,0.0377
3857.50,0.0377
3857.00,0.0378
3856.50,0.0379
3856.00,0.0380
3855.50,0.0380
3855.00,0.0382
3854.50,0.0383
3854.00,0.0383
3853.50,0.0384
3853.00,0.0383
3852.50,0.0382
3852.00,0.0383
3851.50,0.0384
3851.00,0.0384
3850.50,0.0382
3850.00,0.0381
3849.50,0.0381
3849.00,0.0381
3848.50,0.0381
3848.00,0.0381
3847.50,0.0381
3847.00,0.0381
3846.50,0.0381
3846.00,0.0381
3845.50,0.0382
3845.00,0.0383
3844.50,0.0384
3844.00,0.0384
3843.50,0.0385
3843.00,0.0386
3842.50,0.0387
3842.00,0.0387
3841.50,0.0387
3841.00,0.0388
3840.50,0.0389
3840.00,0.0390
3839.50,0.0390
3839.00,0.0389
3838.50,0.0389
3838.00,0.0388
3837.50,0.0389
3837.00,0.0391
3836.50,0.0390
3836.00,0.0389
3835.50,0.0389
3835.00,0.0391
3834.50,0.0392
3834.00,0.0392
3833.50,0.0392
3833.00,0.0392
3832.50,0.0392
3832.00,0.0392
3831.50,0.0392
3831.00,0.0392
3830.50,0.0392
3830.00,0.0392
3829.50,0.0392
3829.00,0.0393
3828.50,0.0393
3828.00,0.0393
3827.50,0.0393
3827.00,0.0393
3826.50,0.0394
3826.00,0.0394
3825.50,0.0394
3825.00,0.0394
3824.50,0.0394
3824.00,0.0394
3823.50,0.0395
3823.00,0.0395
3822.50,0.0396
3822.00,0.0397
3821.50,0.0396
3821.00,0.0395
3820.50,0.0396
3820.00,0.0397
3819.50,0.0396
3819.00,0.0396
3818.50,0.0396
3818.00,0.0396
3817.50,0.0396
3817.00,0.0395
3816.50,0.0394
3816.00,0.0395
3815.50,0.0397
3815.00,0.0398
3814.50,0.0397
3814.00,0.0396
3813.50,0.0396
3813.00,0.0396
3812.50,0.0396
3812.00,0.0396
3811.50,0.0396
3811.00,0.0397
3810.50,0.0397
3810.00,0.0397
3809.50,0.0397
3809.00,0.0398
3808.50,0.0398
3808.00,0.0398
3807.50,0.0398
3807.00,0.0399
3806.50,0.0400
3806.00,0.0401
3805.50,0.0401
3805.00,0.0400
3804.50,0.0401
3804.00,0.0402
3803.50,0.0402
3803.00,0.0403
3802.50,0.0403
3802.00,0.0403
3801.50,0.0402
3801.00,0.0404
3800.50,0.0406
3800.00,0.0405
3799.50,0.0404
3799.00,0.0404
3798.50,0.0404
3798.00,0.0405
3797.50,0.0405
3797.00,0.0405
3796.50,0.0405
3796.00,0.0406
3795.50,0.0406
3795.00,0.0406
3794.50,0.0406
3794.00,0.0406
3793.50,0.0406
3793.00,0.0407
